material,lat (AA),rS_A (AA),rP_A (AA),rS_B (AA),rP_B (AA),Z_A (e),Z_B (e),HOMO_A (eV),LUMO_A (eV),EA_A (eV),IP_A (eV),EN_A (eV),HOMO_B (eV),LUMO_B (eV),EA_B (eV),IP_B (eV),EN_B (eV)
KAgO3,4.06120467,2.28600,3.16750,1.35140,1.94410,19,47,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.216907058393,-4.216907203152,-1.521159375706,7.251049684650,2.864945154472
KCdO3,4.17897747,2.28600,3.16750,1.24890,1.89950,19,48,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-6.023736420579,-0.948499811712,1.046403819836,9.367805294123,5.207104556979
KSnO3,4.09694391,2.28600,3.16750,1.07110,1.37380,19,50,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.693967270914,-3.693967397722,-1.084211366527,6.773509406815,2.844649020144
KSbO3,3.98663774,2.28600,3.16750,1.00720,1.25160,19,51,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.963183376254,-4.963183546631,-1.964510398835,8.359173003941,3.197331302553
KTaO3,3.98411233,2.28600,3.16750,1.47300,2.08400,19,73,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.410813983109,-3.410814100196,-0.207862642233,7.364063701622,3.578100529695
KWO3,3.91601511,2.28600,3.16750,1.41610,2.11260,19,74,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.437043328913,-4.437043481229,-0.922676234942,8.672459941188,3.874891853123
KPtO3,3.96842560,2.28600,3.16750,1.33610,1.80090,19,78,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-5.316148581053,-4.051110054601,-1.310324277513,10.114267892650,4.401971807568
KPbO3,4.27870417,2.28600,3.16750,1.04520,1.42350,19,82,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.503690269109,-3.503690389384,-0.958997386626,6.476888103509,2.758945358442
KBiO3,4.21069274,2.28600,3.16750,0.99410,1.31290,19,83,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.706546707306,-4.706546868874,-1.846753393810,7.964551439414,3.058899022802
RbAlO3,3.87160663,2.39300,3.29810,1.10410,1.43130,37,13,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-2.547095300306,-2.547095387743,-0.308077870308,5.449666311380,2.570794220536
RbTiO3,3.96503680,2.39300,3.29810,1.54120,2.08940,37,22,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.667603032050,-3.667603157952,-0.021725201808,7.552223574011,3.765249186102
RbVO3,3.84000001,2.39300,3.29810,1.45970,2.04700,37,23,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.798406943350,-4.798407108071,-0.664676976192,7.407416209273,3.371369616541
RbCrO3,3.78822829,2.39300,3.29810,1.42470,2.01210,37,24,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.733548486143,-4.733548648638,-1.259830231993,6.979022153017,2.859595960512
RbMnO3,3.76733883,2.39300,3.29810,0.41350,2.18240,37,25,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.333466263373,-0.671345464134,-1.423902065558,6.884430469844,2.730264202143
RbFeO3,3.77452908,2.39300,3.29810,1.39120,2.20810,37,26,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.836619504771,-3.836619636475,-1.415506591628,7.089031766055,2.836762587214
RbCoO3,3.80314284,2.39300,3.29810,1.38110,1.65750,37,27,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.347469515837,-3.347469630750,-1.133799031088,7.525127748251,3.195664358581
RbNiO3,3.84499640,2.39300,3.29810,1.37820,1.61770,37,28,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-2.919817594254,-2.919817694486,-0.680064535054,8.128919800973,3.724427632959
RbCuO3,3.91531815,2.39300,3.29810,1.23610,2.20480,37,29,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.362985932102,-4.362986081876,-1.554935144418,7.534909454159,2.989987154871
RbZnO3,3.99208842,2.39300,3.29810,1.11690,1.78990,37,30,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-6.384766005031,-0.880351142307,1.016686332121,9.995763731659,5.506225031890
RbGaO3,3.98371566,2.39300,3.29810,1.00870,1.37830,37,31,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-2.447267344605,-2.447267428616,-0.221448418066,5.403241923784,2.590896752859
RbGeO3,3.89066639,2.39300,3.29810,0.92390,1.18940,37,32,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.864142063585,-3.864142196235,-0.978668998444,7.285215454342,3.153273227949
RbZrO3,4.20072689,2.39300,3.29810,1.67180,2.26450,37,40,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.230129340890,-3.230129451775,-0.047328544585,7.150603804508,3.551637629961
RbNbO3,4.02577438,2.39300,3.29810,1.58200,2.11090,37,41,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.395561840699,-4.395561991591,-0.969575749518,7.291456922287,3.160940586385
RbMoO3,3.94925242,2.39300,3.29810,1.55920,2.24600,37,42,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.405289070280,-4.405289221506,-1.713307224028,6.693232569522,2.489962672747
RbTcO3,3.90694334,2.39300,3.29810,1.58880,2.13150,37,43,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.015504540133,-3.015504643650,-1.275831727848,7.207933304014,2.966050788083
RbRuO3,3.91325889,2.39300,3.29810,1.55180,2.19700,37,44,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.663439802229,-2.821777985343,-0.586474863883,8.167782092633,3.790653614375
RbRhO3,3.93410988,2.39300,3.29810,1.51700,2.24450,37,45,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.324078823778,-2.720936056224,-0.649048902331,9.152288883026,4.251619990348
RbPdO3,4.01218596,2.39300,3.29810,1.48560,2.29200,37,46,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-5.018246293882,-2.610572297189,-0.200021161260,10.166984187162,4.983481512951
RbAgO3,4.11156460,2.39300,3.29810,1.35140,1.94410,37,47,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.216907058393,-4.216907203152,-1.521159375706,7.251049684650,2.864945154472
RbCdO3,4.23115262,2.39300,3.29810,1.24890,1.89950,37,48,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-6.023736420579,-0.948499811712,1.046403819836,9.367805294123,5.207104556979
RbSnO3,4.14122375,2.39300,3.29810,1.07110,1.37380,37,50,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.693967270914,-3.693967397722,-1.084211366527,6.773509406815,2.844649020144
RbSbO3,4.04033786,2.39300,3.29810,1.00720,1.25160,37,51,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.963183376254,-4.963183546631,-1.964510398835,8.359173003941,3.197331302553
RbTaO3,4.02269007,2.39300,3.29810,1.47300,2.08400,37,73,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.410813983109,-3.410814100196,-0.207862642233,7.364063701622,3.578100529695
RbWO3,3.95608647,2.39300,3.29810,1.41610,2.11260,37,74,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.437043328913,-4.437043481229,-0.922676234942,8.672459941188,3.874891853123
RbPtO3,4.01282056,2.39300,3.29810,1.33610,1.80090,37,78,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-5.316148581053,-4.051110054601,-1.310324277513,10.114267892650,4.401971807568
RbPbO3,4.31770814,2.39300,3.29810,1.04520,1.42350,37,82,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-3.503690269109,-3.503690389384,-0.958997386626,6.476888103509,2.758945358442
RbBiO3,4.26709938,2.39300,3.29810,0.99410,1.31290,37,83,-2.224275864208,-2.224275940564,-0.611258460659,4.006416322987,1.697578931164,-4.706546707306,-4.706546868874,-1.846753393810,7.964551439414,3.058899022802
CsAlO3,3.92216111,2.62700,3.23440,1.10410,1.43130,55,13,-2.072691900737,-0.442114316137,-0.581508210930,3.728552454429,1.573522121749,-2.547095300306,-2.547095387743,-0.308077870308,5.449666311380,2.570794220536
CsTiO3,4.03106275,2.62700,3.23440,1.54120,2.08940,55,22,-2.072691900737,-0.442114316137,-0.581508210930,3.728552454429,1.573522121749,-3.667603032050,-3.667603157952,-0.021725201808,7.552223574011,3.765249186102
CsVO3,3.93960975,2.62700,3.23440,1.45970,2.04700,55,23,-2.072691900737,-0.442114316137,-0.581508210930,3.728552454429,1.573522121749,-4.798406943350,-4.798407108071,-0.664676976192,7.407416209273,3.371369616541
CsCrO3,3.88896321,2.62700,3.23440,1.42470,2.01210,55,24,-2.072691900737,-0.442114316137,-0.581508210930,3.728552454429,1.573522121749,-4.733548486143,-4.733548648638,-1.259830231993,6.979022153017,2.859595960512
CsMnO3,3.87098893,2.62700,3.23440,0.41350,2.18240,55,25,-2.072691900737,-0.442114316137,-0.581508210930,3.728552454429,1.573522121749,-4.333466263373,-0.671345464134,-1.423902065558,6.884430469844,2.730264202143
